passer_id,passer,posteam
00-0010240,S.Mack,HOU
00-0032245,S.Mannion,"LA, MIN"
00-0030092,S.Martin,DET
00-0010560,S.Matthews,"BUF, CHI, WAS"
00-0027071,S.McGee,DAL
00-0011024,S.McNair,"BAL, TEN"
00-0011434,S.Mitchell,"BAL, CIN"
00-0019484,S.Morris,MIA
00-0019726,S.Morris,KC
00-0030569,S.Renfree,ATL
00-0025431,S.Rice,"MIN, SEA"
00-0020480,S.Rosenfels,"HOU, MIA"
00-0027770,S.Schillinger,ATL
00-0034928,S.Sims,WAS
00-0020337,S.Smith,CAR
00-0015627,S.Stenstrom,SF
00-0028595,S.Tolzien,"GB, IND"
00-0022101,St. Pierre,"ARI, CAR, PIT"
00-0027994,S.Vereen,NYG
00-0022055,S.Wallace,"CLE, GB, SEA"
00-0017121,S.Walsh,IND
00-0031325,S.Watkins,KC
00-0024110,S.Weatherford,NYJ
00-0019553,S.Wynn,"CLE, MIN"
00-0018441,S.Young,SF
00-0018518,S.Zolak,MIA
00-0000104,T.Aikman,DAL
00-0030525,T.Austin,LA
00-0000722,T.Banks,"BAL, HOU, WAS"
00-0000745,T.Barber,NYG
00-0029269,T.Benjamin,LAC
00-0001545,T.Bouman,"JAX, MIN, NO"
00-0033009,T.Boyd,CIN
00-0032462,T.Boykin,SEA
00-0034177,T.Boyle,"DET, GB"
00-0019596,T.Brady,"NE, TB"
00-0027121,T.Brandstater,LA
00-0030151,T.Bray,"CHI, KC"
00-0031237,T.Bridgewater,"CAR, DEN, MIN, NO"
00-0002068,T.Brown,NE
00-0019192,T.Brown,"BUF, SEA"
00-0030710,T.Burton,PHI
00-0029205,T.Cadet,NO
00-0025672,T.Castille,KC
00-0033556,T.Cohen,CHI
00-0003315,T.Collins,"CHI, KC, WAS"
00-0003535,T.Couch,CLE
00-0004230,T.Detmer,"CLE, DET"
00-0004293,T.Dilfer,"BAL, CLE, SEA, SF, TB"
00-0021376,T.Duckett,ATL
00-0025479,T.Edwards,"BUF, JAX, PHI"
00-0020964,T.Fisher,GB
00-0025396,T.Ginn,"ARI, CAR"
00-0006043,T.Glenn,DAL
00-0006101,T.Gonzalez,KC
00-0006299,T.Graziani,ATL
00-0006355,T.Green,"KC, LA, MIA"
00-0019816,T.Hasselbeck,WAS
00-0020516,T.Heap,BAL
00-0031800,T.Heinicke,"CAR, HOU, WAS"
00-0020471,T.Henry,BUF
